year,city,country,avg_temp
1886,Guarulhos,Brazil,18.93
1887,Guarulhos,Brazil,19.45
1888,Guarulhos,Brazil,20.12
1889,Guarulhos,Brazil,20.03
1890,Guarulhos,Brazil,19.17
1891,Guarulhos,Brazil,19.56
1892,Guarulhos,Brazil,19.17
1893,Guarulhos,Brazil,18.49
1894,Guarulhos,Brazil,19.48
1895,Guarulhos,Brazil,19.43
1896,Guarulhos,Brazil,19.45
1897,Guarulhos,Brazil,19.51
1898,Guarulhos,Brazil,19.54
1899,Guarulhos,Brazil,20.09
1900,Guarulhos,Brazil,19.71
1901,Guarulhos,Brazil,19.15
1902,Guarulhos,Brazil,19.87
1903,Guarulhos,Brazil,19.44
1904,Guarulhos,Brazil,19.02
1905,Guarulhos,Brazil,19.61
1906,Guarulhos,Brazil,19.49
1907,Guarulhos,Brazil,19.18
1908,Guarulhos,Brazil,19.22
1909,Guarulhos,Brazil,18.98
1910,Guarulhos,Brazil,19.15
1911,Guarulhos,Brazil,19.02
1912,Guarulhos,Brazil,19.32
1913,Guarulhos,Brazil,19.72
1914,Guarulhos,Brazil,20.37
1915,Guarulhos,Brazil,20.12
1916,Guarulhos,Brazil,19.53
1917,Guarulhos,Brazil,18.43
1918,Guarulhos,Brazil,19.24
1919,Guarulhos,Brazil,19.88
1920,Guarulhos,Brazil,19.56
1921,Guarulhos,Brazil,19.37
1922,Guarulhos,Brazil,19.85
1923,Guarulhos,Brazil,19.58
1924,Guarulhos,Brazil,19.13
1925,Guarulhos,Brazil,19.52
1926,Guarulhos,Brazil,19.78
1927,Guarulhos,Brazil,19.56
1928,Guarulhos,Brazil,20.08
1929,Guarulhos,Brazil,19.70
1930,Guarulhos,Brazil,20.09
1931,Guarulhos,Brazil,19.35
1932,Guarulhos,Brazil,20.18
1933,Guarulhos,Brazil,18.97
1934,Guarulhos,Brazil,19.87
1935,Guarulhos,Brazil,19.73
1936,Guarulhos,Brazil,20.01
1937,Guarulhos,Brazil,19.50
1938,Guarulhos,Brazil,19.83
1939,Guarulhos,Brazil,19.93
1940,Guarulhos,Brazil,20.35
1941,Guarulhos,Brazil,20.18
1942,Guarulhos,Brazil,19.68
1943,Guarulhos,Brazil,19.63
1944,Guarulhos,Brazil,19.99
1945,Guarulhos,Brazil,19.57
1946,Guarulhos,Brazil,19.91
1947,Guarulhos,Brazil,19.25
1948,Guarulhos,Brazil,19.64
1949,Guarulhos,Brazil,19.40
1950,Guarulhos,Brazil,19.85
1951,Guarulhos,Brazil,19.32
1952,Guarulhos,Brazil,19.91
1953,Guarulhos,Brazil,19.96
1954,Guarulhos,Brazil,20.20
1955,Guarulhos,Brazil,19.55
1956,Guarulhos,Brazil,19.26
1957,Guarulhos,Brazil,19.67
1958,Guarulhos,Brazil,20.33
1959,Guarulhos,Brazil,20.49
1960,Guarulhos,Brazil,19.68
1961,Guarulhos,Brazil,20.57
1962,Guarulhos,Brazil,19.09
1963,Guarulhos,Brazil,20.40
1964,Guarulhos,Brazil,19.25
1965,Guarulhos,Brazil,20.00
1966,Guarulhos,Brazil,20.13
1967,Guarulhos,Brazil,20.16
1968,Guarulhos,Brazil,19.16
1969,Guarulhos,Brazil,20.14
1970,Guarulhos,Brazil,20.06
1971,Guarulhos,Brazil,19.78
1972,Guarulhos,Brazil,20.13
1973,Guarulhos,Brazil,20.21
1974,Guarulhos,Brazil,19.67
1975,Guarulhos,Brazil,19.82
1976,Guarulhos,Brazil,19.48
1977,Guarulhos,Brazil,20.84
1978,Guarulhos,Brazil,19.94
1979,Guarulhos,Brazil,19.68
1980,Guarulhos,Brazil,20.28
1981,Guarulhos,Brazil,19.90
1982,Guarulhos,Brazil,19.95
1983,Guarulhos,Brazil,20.06
1984,Guarulhos,Brazil,20.56
1985,Guarulhos,Brazil,20.07
1986,Guarulhos,Brazil,20.49
1987,Guarulhos,Brazil,20.34
1988,Guarulhos,Brazil,19.93
1989,Guarulhos,Brazil,19.66
1990,Guarulhos,Brazil,20.29
1991,Guarulhos,Brazil,20.13
1992,Guarulhos,Brazil,20.21
1993,Guarulhos,Brazil,20.49
1994,Guarulhos,Brazil,20.77
1995,Guarulhos,Brazil,20.61
1996,Guarulhos,Brazil,20.18
1997,Guarulhos,Brazil,20.77
1998,Guarulhos,Brazil,20.71
1999,Guarulhos,Brazil,20.04
2000,Guarulhos,Brazil,20.32
2001,Guarulhos,Brazil,20.96
2002,Guarulhos,Brazil,21.30
2003,Guarulhos,Brazil,20.76
2004,Guarulhos,Brazil,20.05
2005,Guarulhos,Brazil,20.78
2006,Guarulhos,Brazil,20.60
2007,Guarulhos,Brazil,20.93
2008,Guarulhos,Brazil,20.22
2009,Guarulhos,Brazil,20.78
2010,Guarulhos,Brazil,20.72
2011,Guarulhos,Brazil,20.33
2012,Guarulhos,Brazil,21.02
2013,Guarulhos,Brazil,20.07
